4001	@united Cancelled Flighted my mileage plus award reservation G6455C same day. Have yet to see my miles back despite agent confirmation.	negative
4002	@AmericanAir flight 1081 from IAD to LAX sat for more than 3hrs because ground crew couldn't drive in snow #badmgmt #AmericanAirlines	negative
4003	@AmericanAir is the worst airline in the entire world. I only flew them because I had to and it was the nightmare I knew it would be.	negative
4004	@SouthwestAir Thanks! Confirmation number just DMed. Appreciate any help!	positive
4005	@USAirways we have seats.  on phone Iwas  told I was getting error msg due to paid 1st class upgrd. told to check in after 12am.sound right?	negative
4006	@SouthwestAir  Cancelled Flighted Sunday 9:50AM flight to Dallas..next flight out is Tuesday afternoon. Stranded. #BS #GetMeOuttaHere #SouthwestSucks	negative
4007	@SouthwestAir I have a voucher w swa that expires 4/10. An extension would be a lot of luv	negative
4008	@SouthwestAir big thanks to your team. family emerg, same day ticket, experience was excellent. 1st time flying with yall, not my last!	positive
4009	@AmericanAir what I am put off by is the fact that no gate supervisor has tried to come by and communicate with us.	negative
4010	@AmericanAir we have 8 ppl so we need 2 know how many seats are on the next flight. Plz put us on standby for 4 people on the next flight?	neutral
